,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
0,NIFTY2161715800CE,-1,2021-06-16 10:50:00+05:30,2021-06-16 10:50:00+05:30,2021-06-16 10:55:00.656768,55.45,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 10:50:00+05:30,2021-06-16 10:50:00+05:30,2021-06-16 10:55:00.893278,34.15,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 10:50:00+05:30,2021-06-16 10:50:00+05:30,2021-06-16 10:55:01.088599,20.0,NA,5minute
3,NIFTY2161716100CE,1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:01.995217,3.25,NA,5minute
4,NIFTY2161716250CE,1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:03.062945,2.15,NA,5minute
5,NIFTY2161715500PE,1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:04.006215,5.8,NA,5minute
6,NIFTY2161715300PE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:04.864811,3.1,NA,5minute
7,BANKNIFTY2161735200CE,-1,2021-06-16 10:50:00+05:30,2021-06-16 10:50:00+05:30,2021-06-16 10:55:05.409633,169.6,NA,5minute
8,BANKNIFTY2161735300CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:06.604738,129.25,NA,5minute
9,BANKNIFTY2161735400CE,-1,2021-06-16 10:50:00+05:30,2021-06-16 10:50:00+05:30,2021-06-16 10:55:07.202299,96.05,NA,5minute
10,BANKNIFTY2161735500CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:07.695981,69.4,NA,5minute
11,BANKNIFTY2161735700CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:09.026191,38.3,NA,5minute
12,BANKNIFTY2161735800CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:09.203669,28.95,NA,5minute
13,BANKNIFTY2161735900CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:09.373958,22.85,NA,5minute
14,BANKNIFTY2161736000CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:09.556709,18.7,NA,5minute
15,BANKNIFTY2161736100CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 10:55:09.777379,15.55,NA,5minute
